"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-AR","USGS Arkansas Water Science Center","USGS-07069170","SPRING RIVER NEAR THAYER, MO.","Stream",NA,11010010,NA,NA,NA,NA,36.5028401,-91.5254186,24000,"1","seconds","Interpolated from MAP.","NAD83",500,"feet",10,"feet","Interpolated from Digital Elevation Model","NAVD88","US",29,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-AR","USGS Arkansas Water Science Center","USGS-07188820","LITTLE SUGAR CREEK AT CAVERNA, MO.","Stream",NA,11070208,NA,NA,NA,NA,36.5028527,-94.2752089,24000,"1","seconds","Interpolated from MAP.","NAD83",980,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",29,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-AR","USGS Arkansas Water Science Center","USGS-07188910","BUTLER CREEK NEAR SULPHUR SPRINGS, ARK.","Stream",NA,11070208,NA,NA,NA,NA,36.5122967,-94.4818832,NA,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",29,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-MO","USGS Missouri Water Science Center","USGS-05490600","Des Moines River at St. Francisville, MO","Stream",NA,7100009,14300,"sq mi",NA,NA,40.4624083,-91.5669639,24000,"1","seconds","Interpolated from Digital MAP.","NAD83",491.73,"feet",0.1,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-MO","USGS Missouri Water Science Center","USGS-05495000","Fox River at Wayland, MO","Stream",NA,7110001,400,"sq mi",NA,NA,40.39241667,-91.5978889,24000,".5","seconds","Interpolated from Digital MAP.","NAD83",501.53,"feet",0.05,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-MO","USGS Missouri Water Science Center","USGS-05495150","MISSISSIPPI RIVER AT CANTON, MO.","Stream",NA,7110001,NA,NA,NA,NA,40.1308788,-91.5137665,24000,"1","seconds","Interpolated from MAP.","NAD83",480,"feet",10,"feet","Interpolated from Digital Elevation Model","NAVD88","US",29,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-MO","USGS Missouri Water Science Center","USGS-05496000","Wyaconda River above Canton, MO","Stream",NA,7110001,393,"sq mi",NA,NA,40.1421111,-91.5656944,24000,".5","seconds","Interpolated from Digital MAP.","NAD83",515.75,"feet",0.05,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-MO","USGS Missouri Water Science Center","USGS-05497150","North Fabius River near Ewing, MO","Stream",NA,7110002,471,"sq mi",NA,NA,40.01890278,-91.6223417,24000,"5","seconds","GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System","NAD83",506.51,"feet",0.05,"feet","GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-MO","USGS Missouri Water Science Center","USGS-05499900","Troublesome Creek near Ewing, MO","Stream",NA,7110003,92.3,"sq mi",NA,NA,39.99782058,-91.8437788,24000,"1","seconds","Interpolated from MAP.","NAD83",609,"feet",10,"feet","Interpolated from Digital Elevation Model","NAVD88","US",29,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-MO","USGS Missouri Water Science Center","USGS-05500000","South Fabius River near Taylor, MO","Stream",NA,7110003,620,"sq mi",NA,NA,39.8974722,-91.5802778,100000,"5","seconds","GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System","NAD83",482.45,"feet",0.07,"feet","GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-MO","USGS Missouri Water Science Center","USGS-05501600","Mississippi River at Hannibal, MO","Stream",NA,7110004,NA,NA,NA,NA,39.7239345,-91.3623707,24000,"1","seconds","Interpolated from MAP.","NAD83",463,"feet",10,"feet","Interpolated from Digital Elevation Model","NAVD88","US",29,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-MO","USGS Missouri Water Science Center","USGS-05508000","Salt River near New London, MO","Stream",NA,7110007,2480,"sq mi",NA,NA,39.6125,-91.4073611,24000,"5","seconds","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAD83",476.93,"feet",0.21,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","USGS-MO","USGS Missouri Water Science Center","USGS-05514500","Cuivre River near Troy, MO","Stream",NA,7110008,903,"sq mi",NA,NA,39.01130556,-90.97775,100000,"5","seconds","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAD83",450,"feet",0.21,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","USGS-MO","USGS Missouri Water Science Center","USGS-06817700","Nodaway River near Graham, MO","Stream",NA,10240010,1520,"sq mi",NA,NA,40.20252778,-95.0695833,100000,"5","seconds","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAD83",852.26,"feet",0.1,"feet","GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",29,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
