OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CT,USGS Connecticut Water Science Center,USGS-01118700,"WHITFORD BK AT OLD MYSTIC,CT.",Stream,,01100003,14.80,sq mi,,,41.39482097000000,-71.9606289800000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,8.73,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,09,011,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01119375,"WILLIMANTIC R AT MERROW, CT",Stream,,01100002,94.0,sq mi,,,41.83537570000000,-72.3100804000000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,360,feet,5,feet,Interpolated from topographic map.,NGVD29,US,09,013,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01119500,"WILLIMANTIC RIVER NEAR COVENTRY, CT",Stream,,01100002,121,sq mi,,,41.75065440000000,-72.2656346900000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,237.93,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,09,013,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01120800,NATCHAUG R AT CHAPLIN CT,Stream,,01100002,67.9,sq mi,,,41.80093157000000,-72.1181320000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,09,015,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01122001,"NATCHAUG RIVER, AT U S HWY 6, AT WILLIMANTIC, CT",Stream,,01100002,171.00,sq mi,,,41.71954317000000,-72.1956335000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,09,015,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01122500,"SHETUCKET RIVER NEAR WILLIMANTIC, CT",Stream,,01100002,404,sq mi,,,41.70037644000000,-72.1820223000000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,130.52,feet,.01,feet,Level or other surveyed method.,NAVD88,US,09,015,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01122610,"SHETUCKET R AT SOUTH WINDHAM, CT",Stream,,01100002,408,sq mi,,,41.68232080000000,-72.1659110700000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,135,feet,5,feet,Interpolated from topographic map.,NGVD29,US,09,015,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-011230695,"SHETUCKET RIVER AT TAFTVILLE, CT",Stream,,01100002,512,sq mi,,,41.57000278000000,-72.0462444000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,18.14,feet,.16,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,09,011,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT",Stream,,01100001,155,sq mi,,,42.02231890000000,-71.9556289000000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,340.77,feet,.01,feet,Level or other surveyed method.,NAVD88,US,09,015,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01124120,Quinebaug R at Red Bridge Rd nr N. Grosvenordale,Stream,,01100001,168,sq mi,,,41.98287516000000,-71.9209060000000,24000,1,seconds,Interpolated from MAP.,NAD83,305,feet,1,feet,Interpolated from topographic map.,NGVD29,US,09,015,,,,,,,,,,NWIS
