"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-WA","USGS Washington Water Science Center","USGS-12010000","NASELLE RIVER NEAR NASELLE, WA","Stream",NA,17100106,54.8,"sq mi",NA,NA,46.3739937,-123.743482,24000,1,"seconds","Interpolated from MAP.","NAD83",24.31,"feet",0.04,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",53,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-WA","USGS Washington Water Science Center","USGS-12011103","NORTH NEMAH RIVER NEAR NEMAH, WA","Stream",NA,17100106,NA,NA,NA,NA,46.5137119,-123.862937,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",53,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-WA","USGS Washington Water Science Center","USGS-12011500","WILLAPA RIVER AT LEBAM, WA","Stream",NA,17100106,41.4,"sq mi",NA,NA,46.5637139,-123.5651548,NA,1,"seconds","Interpolated from MAP.","NAD83",154,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",53,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-WA","USGS Washington Water Science Center","USGS-12013500","WILLAPA RIVER NEAR WILLAPA, WA","Stream",NA,17100106,130,"sq mi",NA,NA,46.65093418,-123.6526584,24000,1,"seconds","Interpolated from MAP.","NAD83",6.92,"feet",0.05,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",53,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-WA","USGS Washington Water Science Center","USGS-12016900","NORTH RIVER AT AMERICAN MILL ROAD NEAR RAYMOND, WA","Stream",NA,17100106,210,"sq mi",NA,NA,46.8292626,-123.8312766,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",53,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-WA","USGS Washington Water Science Center","USGS-12020565","CHEHALIS RIVER AT DRYAD, WA","Stream",NA,17100103,NA,NA,NA,NA,46.63149,-123.2487538,NA,1,"seconds","Interpolated from MAP.","NAD83",250,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-WA","USGS Washington Water Science Center","USGS-12022250","CHEHALIS RIVER AT ADNA, WA","Stream",NA,17100103,NA,NA,NA,NA,46.6281587,-123.0609653,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-WA","USGS Washington Water Science Center","USGS-12025000","NEWAUKUM RIVER NEAR CHEHALIS, WA","Stream",NA,17100103,155,"sq mi",NA,NA,46.6201042,-122.945126,NA,1,"seconds","Interpolated from MAP.","NAD83",0,"feet",5,"feet","Level or other surveyed method.","NAVD88","US",53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-WA","USGS Washington Water Science Center","USGS-12025500","CHEHALIS RIVER AT CENTRALIA, WA","Stream",NA,17100103,647,"sq mi",NA,NA,46.7123247,-122.9787425,NA,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-WA","USGS Washington Water Science Center","USGS-12026700","CHEHALIS RIVER AT GALVIN, WA","Stream",NA,17100103,842,"sq mi",NA,NA,46.73537965,-123.0198564,NA,1,"seconds","Interpolated from MAP.","NAD83",145,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",53,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
