"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-KS","USGS Kansas Water Science Center","USGS-06845000","SAPPA C NR OBERLIN, KS","Stream",NA,10250011,1086,"sq mi",923,"sq mi",39.8130606,-100.5343122,NA,"1","minutes","Interpolated from MAP.","NAD83",2537.76,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",20,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-KS","USGS Kansas Water Science Center","USGS-06846500","BEAVER C AT CEDAR BLUFFS, KS","Stream",NA,10250014,1680,"sq mi",1480,"sq mi",39.98500557,-100.560148,NA,"1","minutes","Interpolated from MAP.","NAD83",2521.31,"feet",0.04,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",20,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-KS","USGS Kansas Water Science Center","USGS-06847900","PRAIRIE DOG C AB KEITH SEBELIUS LAKE, KS","Stream",NA,10250015,590,"sq mi",590,"sq mi",39.769727,-100.1006875,NA,"1","minutes","Interpolated from MAP.","NAD83",2335.67,"feet",0.05,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",20,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-KS","USGS Kansas Water Science Center","USGS-06848000","PRAIRIE DOG C AT NORTON, KS","Stream",NA,10250015,684,"sq mi",684,"sq mi",39.81000548,-99.9220683,NA,"1","minutes","Interpolated from MAP.","NAD83",2237.38,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",20,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-KS","USGS Kansas Water Science Center","USGS-06848500","PRAIRIE DOG C NR WOODRUFF, KS","Stream",NA,10250015,1007,"sq mi",1007,"sq mi",39.978775,-99.4781028,24000,".1","seconds","Interpolated from Digital MAP.","NAD83",2020.8,"feet",0.24,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",20,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-KS","USGS Kansas Water Science Center","USGS-06854500","REPUBLICAN R AT SCANDIA, KS","Stream",NA,10250017,23560,"sq mi",16060,"sq mi",39.79873,-97.7931266,NA,"1","minutes","Interpolated from MAP.","NAD83",1423.77,"feet",0.16,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",20,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-KS","USGS Kansas Water Science Center","USGS-06855800","BUFFALO C NR JAMESTOWN, KS","Stream",NA,10250017,330,"sq mi",330,"sq mi",39.6145692,-97.8568182,NA,"1","minutes","Interpolated from MAP.","NAD83",1373.66,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-KS","USGS Kansas Water Science Center","USGS-06856000","REPUBLICAN R AT CONCORDIA, KS","Stream",NA,10250017,23560,"sq mi",16060,"sq mi",39.58866944,-97.6582056,24000,".1","seconds","Interpolated from Digital MAP.","NAD83",1329.39,"feet",0.09,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-KS","USGS Kansas Water Science Center","USGS-06856600","REPUBLICAN R AT CLAY CENTER, KS","Stream",NA,10250017,24542,"sq mi",17042,"sq mi",39.3555515,-97.1275203,NA,"1","minutes","Interpolated from MAP.","NAD83",1159.63,"feet",0.11,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-KS","USGS Kansas Water Science Center","USGS-06857000","REPUBLICAN R AT MILFORD, KS","Stream",NA,10250017,24900,"sq mi",24900,"sq mi",39.16471888,-96.9158446,NA,"1","minutes","Interpolated from MAP.","NAD83",1093.6,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",20,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-KS","USGS Kansas Water Science Center","USGS-06857100","REPUBLICAN R AT JUNCTION CITY, KS","Stream",NA,10250017,24900,"sq mi",NA,NA,39.0427758,-96.8294533,NA,"1","minutes","Interpolated from MAP.","NAD83",1042.48,"feet",0.1,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",20,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-KS","USGS Kansas Water Science Center","USGS-06858000","ROSE C NR WALLACE, KS","Stream",NA,10260001,28.5,"sq mi",28.5,"sq mi",38.8796014,-101.63006,NA,"1","minutes","Interpolated from MAP.","NAD83",3296.11,"feet",1,"feet","Interpolated from topographic map.","NGVD29","US",20,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
