"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","ARS","Agricultural Research Service","ARS-IASF-IABC350","IABC350","River/Stream","A stream flow monitoring station on Beaver Creek near Eldora, Iowa.  Located adjacent to an active cow and horse pasture approximately 1.5 mi (2.4 km) upstream of the confluence with the South Fork Iowa River. The watershed is an intensive agricultural area characterized by moderate relief, riparian areas, and pastures in the lower section of the watershed with low relief, extensive row cropping, and confined animal feeding operations (CAFOs)  in the uplands.  Data collected at this site includes daily minimum/maximum air and stream temperatures, total precipitation, stream discharge, sediment concentration, nitrate concentration, and total phosphorus.",7080207,18210,"ha",NA,NA,42.3391137419,-93.125004241,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"2","ARS","Agricultural Research Service","ARS-IASF-IASF301","IASF301","River/Stream","A drainage ditch monitoring site where water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.5038840566,-93.636103059,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"3","ARS","Agricultural Research Service","ARS-IASF-IASF305","IASF305","River/Stream","A drainage ditch monitoring site west of I-80.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.543436557,-93.589704311,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"4","ARS","Agricultural Research Service","ARS-IASF-IASF309","IASF309","River/Stream","A river monitoring site located on 180th Street at the bridge just east of the intersection with county road R-75.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.5288670566,-93.547594747,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"5","ARS","Agricultural Research Service","ARS-IASF-IASF315","IASF315","River/Stream","A river monitoring station located upstream from the bridge, ½ mile (.8 km) between A Avenue and 941st Street.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.5158312485,-93.469603139,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"6","ARS","Agricultural Research Service","ARS-IASF-IASF400","IASF400","River/Stream","A river monitoring station located in a wooded area with steep river banks on the South Fork Iowa River approx. 0.5 miles (.8 km) south of Highway 20.  Data collected at this site includes daily minimum/maximum air and stream temperatures, total precipitation, stream discharge, sediment concentration, nitrate concentration, and total phosphorus.",7080207,25599,"ha",NA,NA,42.4457868795,-93.365154909,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"7","ARS","Agricultural Research Service","ARS-IASF-IASF450","IASF450","River/Stream","A stream flow monitoring station located northeast of New Providence, IA in a wooded area with high relief on both banks of the river.  Data collected at this site includes daily minimum/maximum air and stream temperatures, total precipitation, stream discharge, sediment concentration, nitrate concentration, and total phosphorus.",7080207,58055,"ha",NA,NA,42.3149594514,-93.152481745,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"8","ARS","Agricultural Research Service","ARS-IASF-IATC252","IATC252","River/Stream","A drainage ditch monitoring site located on county road D-41 at the bridge near the intersection with county road S-21.  Water quality samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.3980146663,-93.443656994,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"9","ARS","Agricultural Research Service","ARS-IASF-IATC262","IATC262","River/Stream","A drainage ditch monitoring site on county road S-21 at the bridge ¼ mile south of county road D-41.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.3935358741,-93.444430542,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"10","ARS","Agricultural Research Service","ARS-IASF-IATC263","IATC263","River/Stream","A drainage ditch monitoring site located near a hog confinement 2 miles (3.2 km) north of a county road D-41 bridge.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.4266984734,-93.517894713,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"11","ARS","Agricultural Research Service","ARS-IASF-IATC272","IATC272","River/Stream","A drainage ditch monitoring site on 220th St. in a culvert ¼ mile (.4 km) east of county road S-21.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.383627463,-93.439311308,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"12","ARS","Agricultural Research Service","ARS-IASF-IATC313","IATC313","River/Stream","A river monitoring site located at the main stream on D Avenue at the bridge ½ mile (.8 km) north of 220th Street.  Water quality grab samples are taken and analyzed for sediment concentration, nitrate, and total phosphorus.",7080207,NA,NA,NA,NA,42.3880224039,-93.42477834,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"13","ARS","Agricultural Research Service","ARS-IASF-IATC323","IATC323","River/Stream","A stream flow monitoring station on Tipton Creek at the P Avenue bridge. Located adjacent to an active cow pasture at the lower end of the Tipton Creek watershed. The watershed is an intensive agricultural area characterized by moderate relief, riparian areas and pastures in the lower section of the watershed and low relief, extensively row cropped with high concentrations of hog confinement operations in the uplands.  Data collected at this site includes daily minimum/maximum air and stream temperatures, total precipitation, stream discharge, sediment concentration, nitrate concentration, and total phosphorus.",7080207,19842,"ha",NA,NA,42.31793,-93.25141,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"14","ARS","Agricultural Research Service","ARS-IASF-IATC325","IATC325","River/Stream","A stream flow monitoring station on Tipton Creek at the P Avenue bridge. Located adjacent to an active cow pasture at the lower end of the Tipton Creek watershed. The watershed is an intensive agricultural area characterized by moderate relief, riparian areas and pastures in the lower section of the watershed and low relief, extensively row cropped with high concentrations of hog confinement operations in the uplands.  Data collected at this site includes daily minimum/maximum air and stream temperatures, total precipitation, stream discharge, sediment concentration, nitrate concentration, and total phosphorus.",7080207,19842,"ha",NA,NA,42.3280096227,-93.191063927,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"15","ARS","Agricultural Research Service","ARS-IAWC-IAWC140","IAWC140","River/Stream","This gage monitoring station is a low flow control weir station.  This site is located below a field basin in the lower third, steeper portion of the watershed.  Low flow control of discharge is provided by a weir, while high flow control is provided by a culvert.  Water samples from this site are tested for Acetochlor, Alachlor, Atrazine, Metolachlor, Simazine, nitrate, nitrite, and total phosphorus.",7080105,NA,NA,NA,NA,41.9470783025,-93.605593642,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"16","ARS","Agricultural Research Service","ARS-IAWC-IAWC310","IAWC310","River/Stream","Black's gage station, in Walnut Creek is located 1.5 miles (2.4 km) northeast of Kelley, Iowa and 4 miles (6.4 km) south of Ames, Iowa.  Located above and below the major tributary of Walnut Creek.  Low-flow control of discharge is provided by a non-constristive weir approximately 20 feet (6 m) downstream from the gage, while high-flow control is provided by a culvert.  Water samples from this site are tested for Acetochlor, Alachlor, Atrazine, Metolachlor, Simazine, nitrate, nitrite, and total phosphorus.",7080105,2547,"ha",NA,NA,41.9546769977,-93.639683435,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"17","ARS","Agricultural Research Service","ARS-IAWC-IAWC330","IAWC330","River/Stream","A stream flow monitoring station on Walnut Creek, 3 miles (4.8 km) north of the town of Cambridge, Iowa.  A non-constrictive weir provides low-flow control approximately 20 ft. (6.1 m) downstream from the gage station and the stream channel provides high-flow control.  Water samples from this site are tested for Acetochlor, Alachlor, Atrazine, Metolachlor, Simazine, nitrate, nitrite, and total phosphorus.",7080105,5130,"ha",NA,NA,41.9390601769,-93.565516191,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"18","ARS","Agricultural Research Service","ARS-IAWC-IAWC340","IAWC340","River/Stream","A water quality station known as Black's West Bridge and is located along the main stream of Walnut Creek, above WC 310 and upstream from WC 122.  Manual water samples were collected weekly. (also called WC 121).  Water samples from this site are tested for Acetochlor, Alachlor, Atrazine, Metolachlor, Simazine, and nitrate.",7080105,NA,NA,NA,NA,41.9656868884,-93.658412759,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"19","ARS","Agricultural Research Service","ARS-IAWC-IAWC400","IAWC400","River/Stream","A water quality station located along the Skunk River.  Manual water samples are collected weekly.  Samples are tested for Acetochlor, Alachlor, Atrazine, Metolachlor, Simazine, and nitrate.",7080105,NA,NA,NA,NA,41.935031924,-93.541009445,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
"20","ARS","Agricultural Research Service","ARS-IAWC-IAWC410","IAWC410","River/Stream","The Big Creek downstream surface water grab sample location where samples were taken at one-week intervals.  Water samples from this site are tested for Acetochlor, Alachlor, Atrazine, Metolachlor, Simazine, nitrate, nitrite, and total phosphorus.",7100004,NA,NA,NA,NA,41.9505493342,-93.759072857,NA,NA,NA,"GPS Code (Pseudo Range) Differential","NAD83",NA,NA,NA,NA,NA,NA,"US",19,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STEWARDS"
