OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CT,USGS Connecticut Water Science Center,USGS-01161280,"CONNECTICUT RIVER NEAR NORTHFIELD, MA",Stream,,01080201,7025.00,sq mi,,,42.68333330000000,-72.4719444000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,170.00,feet,.01,feet,Level or other surveyed method.,NAVD88,US,25,011,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01198125,"HOUSATONIC RIVER NEAR ASHLEY FALLS, MA",Stream,,01100005,465,sq mi,465,sq mi,42.07481380000000,-73.3334485800000,24000,1,seconds,Interpolated from MAP.,NAD83,635.64,feet,.01,feet,Level or other surveyed method.,NAVD88,US,25,003,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01094340,"WHITMAN RIVER NEAR WESTMINSTER, MA",Stream,,01070004,21.60,sq mi,,,42.55981165000000,-71.8667411000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,25,027,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01095220,"STILLWATER RIVER NEAR STERLING, MA",Stream,,01070004,29.1,sq mi,0.00,sq mi,42.41092507000000,-71.7911829000000,,1,seconds,Interpolated from MAP.,NAD83,399.28,feet,5.0,feet,Interpolated from topographic map.,NAVD88,US,25,027,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01095860,"NASHUA RIVER AT FORT DEVENS, MA",Stream,,01070004,,,,,42.55286870000000,-71.6192349000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,25,027,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",Stream,,01070004,435,sq mi,316,sq mi,42.66758945000000,-71.5750680900000,24000,1,seconds,Interpolated from MAP.,NAD83,168.28,feet,.1,feet,Level or other surveyed method.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01096550,"MERRIMACK RIVER ABOVE LOWELL, MA",Stream,,01070006,3900.00,sq mi,3900,sq mi,42.63897990000000,-71.3708955000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01096835,"ASSABET RIVER AT PORT STREET AT HUDSON, MA",Stream,,01070005,60.5,sq mi,,,42.38527778000000,-71.5777777800000,,1,seconds,Interpolated from MAP.,NAD83,205,feet,10,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01096840,"ASSABET RIVER 200 FT BELOW RT 85 AT HUDSON, MA",Stream,,01070005,64.2,sq mi,,,42.39000000000000,-71.5697222000000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,195,feet,10,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
USGS-MA,USGS Massachusetts Water Science Center,USGS-01096885,"ASSABET RIVER AT SUDBURY RD NEAR STOW, MA",Stream,,01070005,88.0,sq mi,,,42.41166667000000,-71.5080556000000,,1,seconds,Interpolated from MAP.,NAD83,170,feet,10,feet,Interpolated from topographic map.,NAVD88,US,25,017,,,,,,,,,,NWIS
