OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AZ,USGS Arizona Water Science Center,USGS-09379910,"COLORADO RIVER BELOW GLEN CANYON DAM, AZ",Stream,,14070006,111700,sq mi,,,36.92165500000000,-111.4834913000000,24000,1,seconds,Interpolated from MAP.,NAD83,3100.,feet,10,feet,Interpolated from topographic map.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09380000,"COLORADO RIVER AT LEES FERRY, AZ",Stream,,14070006,111800,sq mi,,,36.86433330000000,-111.5878722000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,3083,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09382000,"PARIA RIVER AT LEES FERRY, AZ",Stream,,14070007,1410,sq mi,,,36.87220977000000,-111.5946052000000,,10,seconds,Interpolated from MAP.,NAD83,3123.68,feet,5,feet,Unknown.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09383400,"LITTLE COLORADO RIVER AT GREER, AZ",Stream,,15020001,29.1,sq mi,29.1,sq mi,34.01671430000000,-109.4573125000000,24000,10,seconds,Interpolated from MAP.,NAD83,8283.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,001,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09384000,"LITTLE COLORADO R ABV LYMAN LAKE NR ST. JOHNS, AZ",Stream,,15020001,706,sq mi,704,sq mi,34.31448635000000,-109.3623150000000,,10,seconds,Interpolated from MAP.,NAD83,6010.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,001,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09386030,"LITTLE COLORADO RVR ABV ZION RES. NR ST. JOHNS, AZ",Stream,,15020002,1007,sq mi,757,sq mi,34.58364560000000,-109.4070467000000,,10,seconds,Interpolated from MAP.,NAD83,5560.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,001,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09390500,"SHOW LOW CREEK NEAR LAKESIDE, AZ",Stream,,15020005,68.6,sq mi,,,34.17948755000000,-109.9878858000000,,10,seconds,Interpolated from MAP.,NAD83,6610.,feet,20,feet,Interpolated from topographic map.,NGVD29,US,04,017,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09397300,"LITTLE COLORADO RIVER NEAR JOSEPH CITY, AZ",Stream,,15020008,12384,sq mi,12045,sq mi,34.90113674000000,-110.2554013000000,,10,seconds,Interpolated from MAP.,NAD83,5031.10,feet,20,feet,Unknown.,NGVD29,US,04,017,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09401000,"LITTLE COLO. RIVER AT GRAND FALLS, ARIZ.",Stream,,15020016,21068,sq mi,20700,sq mi,35.43333860000000,-111.2007010000000,,10,seconds,Interpolated from MAP.,NAD83,4438.90,feet,20,feet,Unknown.,NGVD29,US,04,005,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,USGS-09401200,"LITTLE COLORADO R AT CAMERON, AZ",Stream,,15020016,23119,sq mi,22759,sq mi,35.87777290000000,-111.4118096000000,,10,seconds,Interpolated from MAP.,NAD83,,,,,,,US,04,005,,,,,,,,,,NWIS
