"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-AZ","USGS Arizona Water Science Center","USGS-09423000","COLORADO RIVER BELOW DAVIS DAM, AZ-NV","Stream",NA,15030101,173300,"sq mi",169300,"sq mi",35.19166556,-114.5721876,24000,"10","seconds","Interpolated from MAP.","NAD83",490,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-CA","USGS California Water Science Center","USGS-10336698","THIRD CK NR CRYSTAL BAY, NV","Stream",NA,16050101,6.05,"sq mi",NA,NA,39.24046325,-119.9465774,24000,"1","seconds","Interpolated from MAP.","NAD83",6237.59,"feet",0.26,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-CA","USGS California Water Science Center","USGS-103366993","INCLINE CK ABV TYROL VILLAGE NR INCLINE VILLAGE NV","Stream",NA,16050101,2.85,"sq mi",NA,NA,39.25879699,-119.9232439,24000,"1","seconds","Interpolated from MAP.","NAD83",6920,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-CA","USGS California Water Science Center","USGS-103366995","Incline Ck at Hwy 28 at Incline Village, NV","Stream",NA,16050101,4.54,"sq mi",NA,NA,39.24546335,-119.9390773,24000,"1","seconds","Interpolated from MAP.","NAD83",6330,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-CA","USGS California Water Science Center","USGS-10336700","INCLINE CK NR CRYSTAL BAY, NV","Stream",NA,16050101,6.74,"sq mi",NA,NA,39.2401855,-119.9449106,24000,"1","seconds","Interpolated from MAP.","NAD83",6251,"feet",0.16,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-NV","USGS Nevada Water Science Center","USGS-09415230","VIRGIN R AB HALFWAY WASH NR RIVERSIDE NV","Stream",NA,15010010,5980,"sq mi",NA,NA,36.67441886,-114.2991406,NA,"10","seconds","Interpolated from MAP.","NAD83",1320,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-NV","USGS Nevada Water Science Center","USGS-09419515","MUDDY RV ABV LAKE MEAD NR OVERTON, NV","Stream",NA,15010005,7215,"sq mi",3300,"sq mi",36.52247537,-114.4144229,24000,"10","seconds","Interpolated from MAP.","NAD83",1200,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-NV","USGS Nevada Water Science Center","USGS-094196783","LV WASH BLW FLAMINGO WASH CONFL NR LAS VEGAS, NV","Stream",NA,15010015,1369,"sq mi",NA,NA,36.13969527,-115.0477755,24000,"1","seconds","Interpolated from MAP.","NAD83",1681.04,"feet",0.04,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-NV","USGS Nevada Water Science Center","USGS-09419700","LAS VEGAS WASH AT PABCO RD NR HENDERSON, NV","Stream",NA,15010015,2125,"sq mi",1518,"sq mi",36.08747539,-114.9858276,24000,"1","seconds","Interpolated from MAP.","NAD83",1530.1,"feet",0.3,"feet","GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-NV","USGS Nevada Water Science Center","USGS-09419753","LV WASH ABV THREE KIDS WASH BLW HENDERSON, NV","Stream",NA,15010015,2180,"sq mi",NA,NA,36.100375,-114.9433194,24000,"1","seconds","Interpolated from MAP.","NAD83",1401.87,"feet",0.3,"feet","GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
