"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-MN","USGS Minnesota Water Science Center","USGS-05291000","WHETSTONE RIVER NEAR BIG STONE CITY, SD","Stream",NA,7020001,398,"sq mi",NA,NA,45.2916316,-96.487557,NA,1,"seconds","Interpolated from MAP.","NAD83",995.12,"feet",0.1,"feet","Differentially corrected Global Positioning System.","NAVD88","US",46,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-MN","USGS Minnesota Water Science Center","USGS-05292818","LABOLT IMPOUNDMENT, NORTH SIDE, AT LABOLT, SD","Stream",NA,7020001,17.4,"sq mi",NA,NA,45.0546871,-96.6895057,24000,1,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",46,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-ND","USGS North Dakota Water Science Center","USGS-06470980","JAMES RIVER NEAR HECLA, SD","Stream",NA,10160003,5520,"sq mi",NA,NA,45.89302277,-98.1706582,NA,1,"seconds","Interpolated from MAP.","NAD83",1290,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",46,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-SD","USGS South Dakota Water Science Center","USGS-06357500","GRAND R AT SHADEHILL SD","Stream",NA,10130303,2991,"sq mi",2991,"sq mi",45.7563845,-102.1959888,NA,1,"minutes","Interpolated from MAP.","NAD83",2192.48,"feet",111,"feet","Reported method of determination.","NGVD29","US",46,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-SD","USGS South Dakota Water Science Center","USGS-06357800","GRAND RIVER AT LITTLE EAGLE,SD","Stream",NA,10130303,5316,"sq mi",5316,"sq mi",45.65777405,-100.8181933,24000,1,"minutes","Interpolated from MAP.","NAD83",1625.89,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",46,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-SD","USGS South Dakota Water Science Center","USGS-06358000","GRAND R NEAR WAKPALA SD","Stream",NA,10130102,5417,"sq mi",5417,"sq mi",45.6611078,-100.639303,24000,1,"minutes","Interpolated from MAP.","NAD83",1601,"feet",1.6,"feet","Interpolated from Digital Elevation Model","NAVD88","US",46,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-SD","USGS South Dakota Water Science Center","USGS-06360500","MOREAU RIVER NEAR WHITEHORSE,SD","Stream",NA,10130306,4889,"sq mi",4872,"sq mi",45.2558171,-100.8429214,24000,1,"minutes","Interpolated from MAP.","NAD83",1662.82,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",46,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-SD","USGS South Dakota Water Science Center","USGS-06395000","CHEYENNE RIVER AT EDGEMONT,SD","Stream",NA,10120106,7171,"sq mi",7170,"sq mi",43.3055286,-103.8210312,NA,1,"minutes","Interpolated from MAP.","NAD83",3416.32,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-SD","USGS South Dakota Water Science Center","USGS-06400500","CHEYENNE R NEAR HOT SPRINGS SD","Stream",NA,10120106,8719,"sq mi",8714,"sq mi",43.30525297,-103.5624182,NA,1,"minutes","Interpolated from MAP.","NAD83",3190.89,"feet",111,"feet","Reported method of determination.","NGVD29","US",46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-SD","USGS South Dakota Water Science Center","USGS-06401500","CHEYENNE RIVER BELOW ANGOSTURA DAM,SD","Stream",NA,10120109,9097,"sq mi",9092,"sq mi",43.34497757,-103.4371412,24000,1,"minutes","Interpolated from MAP.","NAD83",3060.3,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
