"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-NH","USGS New Hampshire Water Science Center","USGS-01134500","MOOSE RIVER AT VICTORY, VT","Stream",NA,1080102,75.2,"sq mi",NA,NA,44.5117231,-71.8373143,24000,1,"seconds","Interpolated from MAP.","NAD83",1103.46,"feet",0.16,"feet","Level or other surveyed method.","NAVD88","US",50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135100","POPE BROOK TRIBUTARY (W-9), NR NORTH DANVILLE, VT","Stream",NA,1080102,0.18,"sq mi",NA,NA,44.49061087,-72.1617667,25000,1,"seconds","Interpolated from MAP.","NAD83",1720.57,"feet",0.08,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135200","SLEEPERS RIVER TRIB (W-2), NR NORTH DANVILLE, VT","Stream",NA,1080102,0.23,"sq mi",NA,NA,44.4594444,-72.0919444,25000,0.5,"seconds","Interpolated from Digital MAP.","NAD83",935,"feet",10,"feet","Interpolated from Digital Elevation Model","NAVD88","US",50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135300","SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT","Stream",NA,1080102,42.9,"sq mi",NA,NA,44.4353353,-72.03842899,25000,1,"seconds","Interpolated from MAP.","NAD83",641.27,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-NH","USGS New Hampshire Water Science Center","USGS-01135500","PASSUMPSIC RIVER AT PASSUMPSIC, VT","Stream",NA,1080102,436,"sq mi",NA,NA,44.3656147,-72.0392613,25000,1,"seconds","Interpolated from MAP.","NAD83",487.79,"feet",0.12,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-NH","USGS New Hampshire Water Science Center","USGS-01138500","CONNECTICUT RIVER AT WELLS RIVER, VT","Stream",NA,1080103,2644,"sq mi",NA,NA,44.15339689,-72.0417577,24000,1,"seconds","Interpolated from MAP.","NAD83",399.37,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",50,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-NH","USGS New Hampshire Water Science Center","USGS-01139830","PIKE HILL BR AB RICHARDSON RD, NR BRADFORD, VT","Stream",NA,1080104,0.11,"sq mi",NA,NA,44.0639538,-72.30148518,24000,1,"seconds","Interpolated from MAP.","NAD83",1400,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-NH","USGS New Hampshire Water Science Center","USGS-01139838","PIKE HILL BROOK @ PIKE HILL ROAD, NR BRADFORD, VT","Stream",NA,1080104,3.64,"sq mi",NA,NA,44.05339875,-72.25287248,24000,1,"seconds","Interpolated from MAP.","NAD83",940,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",50,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-NH","USGS New Hampshire Water Science Center","USGS-01142500","AYERS BROOK AT RANDOLPH, VT","Stream",NA,1080105,30.5,"sq mi",NA,NA,43.93450969,-72.6578821,24000,1,"seconds","Interpolated from MAP.","NAD83",630.13,"feet",0.13,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",50,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-NH","USGS New Hampshire Water Science Center","USGS-01144000","WHITE RIVER AT WEST HARTFORD, VT","Stream",NA,1080105,690,"sq mi",NA,NA,43.71423614,-72.418149,24000,1,"seconds","Interpolated from MAP.","NAD83",374.32,"feet",0.16,"feet","Level or other surveyed method.","NAVD88","US",50,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
