OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01484719,"BASSETT CREEK NEAR IRONSHIRE, MD",Stream,,02040303,1.22,sq mi,,,38.26808840000000,-75.2441629000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,3.33,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,047,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01485000,"POCOMOKE RIVER NEAR WILLARDS, MD",Stream,,02080111,60.5,sq mi,,,38.38888889000000,-75.3244444000000,24000,1,seconds,Interpolated from MAP.,NAD83,13.15,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,047,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01485500,"NASSAWANGO CREEK NEAR SNOW HILL, MD",Stream,,02080111,44.9,sq mi,,,38.22891667000000,-75.4714444000000,24000,1,seconds,Interpolated from MAP.,NAD83,11.49,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,047,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486500,"BEAVERDAM CREEK NEAR SALISBURY, MD",Stream,,02080110,19.5,sq mi,,,38.35311110000000,-75.5725556000000,24000,1,seconds,Interpolated from MAP.,NAD83,6.72,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,045,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",Stream,,02060005,113,sq mi,,,38.99719444000000,-75.7858056000000,,1,seconds,Interpolated from MAP.,NAD83,2.73,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,011,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01493110,"CHESTERVILLE BRANCH NEAR CHESTERVILLE, MD",Stream,,02060002,1.49,sq mi,,,39.28816615000000,-75.9282740000000,24000,1,seconds,Interpolated from MAP.,NAD83,40,feet,5,feet,Interpolated from topographic map.,NGVD29,US,24,029,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01493112,"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",Stream,,02060002,6.12,sq mi,,,39.25705556000000,-75.9401388900000,24000,1,seconds,Interpolated from MAP.,NAD83,1.21,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,029,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01493500,"MORGAN CREEK NEAR KENNEDYVILLE, MD",Stream,,02060002,12.7,sq mi,,,39.28002778000000,-76.0145556000000,24000,1,seconds,Interpolated from MAP.,NAD83,0.97,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,029,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01578310,"SUSQUEHANNA RIVER AT CONOWINGO, MD",Stream,,02050306,27100,sq mi,,,39.65788889000000,-76.1744444000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,4.16,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,025,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581500,"BYNUM RUN AT BEL AIR, MD",Stream,,02060003,8.52,sq mi,,,39.54147220000000,-76.3301111000000,24000,1,seconds,Interpolated from MAP.,NAD83,250.08,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,025,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581649,"JAMES RUN NEAR BELCAMP, MD",Stream,,02060003,9.15,sq mi,,,39.49219444000000,-76.2591111000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,57.10,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,025,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581752,"PLUMTREE RUN NEAR BEL AIR, MD",Stream,,02060003,2.50,sq mi,,,39.49627778000000,-76.3474444000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,182.27,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,025,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397925,"MINEBANK RUN AT INTERVALE COURT NEAR TOWSON, MD",Stream,,02060003,0.41,sq mi,,,39.40205556000000,-76.5790000000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,340,feet,5,feet,Interpolated from topographic map.,NGVD29,US,24,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397967,"MINEBANK RUN NEAR GLEN ARM, MD",Stream,,02060003,2.06,sq mi,,,39.40961110000000,-76.5572500000000,24000,Unknown,Unknown,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAD83,216.25,feet,.11,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,24,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01585075,"FOSTER BRANCH NEAR JOPPATOWNE, MD",Stream,,02060003,1.83,sq mi,,,39.40852778000000,-76.3426388900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,0.53,feet,0.2,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,025,,,,,20150923,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01587500,"SOUTH BRANCH PATAPSCO RIVER AT HENRYTON, MD",Stream,,02060003,64.40,sq mi,,,39.35149355000000,-76.9135883000000,,1,seconds,Interpolated from MAP.,NAD83,289.15,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,013,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589000,"PATAPSCO RIVER AT HOLLOFIELD, MD",Stream,,02060003,285,sq mi,,,39.31030556000000,-76.7924167000000,24000,1,seconds,Interpolated from MAP.,NAD83,186.9,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589452,"JONES FALLS AT LAKE ROLAND DAM NEAR BALTIMORE, MD",Stream,,02060003,34.6,sq mi,,,39.37816207000000,-76.6430250000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589455,"MOUNT WASHINGTON STORM SEWER AT BALTIMORE, MD",Stream,,02060003,0.03,sq mi,,,39.36149530000000,-76.6783040000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,510,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589460,"HAMPDEN STORM SEWER AT BALTIMORE, MD",Stream,,02060003,0.02,sq mi,,,39.32844010000000,-76.6308017000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,510,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589462,"HOMELAND STORM SEWER AT BALTIMORE, MD",Stream,,02060003,0.04,sq mi,,,39.35510670000000,-76.6185793000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,510,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589465,"STONY RUN NEAR MOUTH AT BALTIMORE, MD",Stream,,02060003,3.20,sq mi,,,39.32455128000000,-76.6258014000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,510,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589470,"RESERVOIR HILL STORM SEWER AT BALTIMORE, MD",Stream,,02060003,0.02,sq mi,,,39.31344019000000,-76.6308014800000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,510,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589475,"BOLTON HILL STORM SEWER AT BALTIMORE, MD",Stream,,02060003,0.02,sq mi,,,39.30732910000000,-76.6249678000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,510,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01589480,"JONES FALLS NEAR MOUTH AT BALTIMORE, MD",Stream,,02060003,56.1,sq mi,,,39.30344030000000,-76.6116339000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,510,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01591000,"PATUXENT RIVER NEAR UNITY, MD",Stream,,02060006,34.8,sq mi,,,39.23825000000000,-77.0557222000000,,1,seconds,Interpolated from MAP.,NAD83,364.04,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,031,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01591510,"PATUXENT RIVER TRIBUTARY NEAR DAYTON, MD",Stream,,02060006,,,,,39.22371710000000,-77.0066442000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,027,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01592500,"PATUXENT RIV NEAR LAUREL, MD",Stream,,02060006,132,sq mi,,,39.11572220000000,-76.8737500000000,,1,seconds,Interpolated from MAP.,NAD83,152.79,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01593655,"AGRICULTURAL RUNOFF SITE NEAR CLARKSVILLE, MD",Stream,,02060006,,,,,39.24371700000000,-76.9349760000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,027,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594000,"LITTLE PATUXENT RIVER AT SAVAGE, MD",Stream,,02060006,98.4,sq mi,,,39.13441667000000,-76.8161667000000,,1,seconds,Interpolated from MAP.,NAD83,122.18,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,027,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594440,"PATUXENT RIVER NEAR BOWIE, MD",Stream,,02060006,348,sq mi,,,38.95591667000000,-76.6936944000000,,1,seconds,Interpolated from MAP.,NAD83,12.32,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,003,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594526,"WESTERN BRANCH AT UPPER MARLBORO, MD",Stream,,02060006,89.7,sq mi,,,38.81422220000000,-76.7487222000000,24000,1,seconds,Interpolated from MAP.,NAD83,4.42,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594670,"HUNTING CREEK NEAR HUNTINGTOWN, MD",Stream,,02060006,9.38,sq mi,,,38.58400965000000,-76.6052365000000,24000,1,seconds,Interpolated from MAP.,NAD83,10,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,009,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594710,"KILLPECK CREEK AT HUNTERSVILLE, MD",Stream,,02060006,3.26,sq mi,,,38.47706780000000,-76.7352426000000,24000,1,seconds,Interpolated from MAP.,NAD83,50,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,037,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594780,"AGRICULTURAL RUNOFF SITE NEAR ST. LEONARD, MD",Stream,,02060004,,,,,38.56123264000000,-76.5107869000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,009,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594860,"AGRICULTURAL RUNOFF SITE 1 NEAR LEXINGTON PARK, MD",Stream,,02060004,,,,,38.24040264000000,-76.4063393000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,037,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01603000,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD",Stream,,02070002,877,sq mi,,,39.62180556000000,-78.7734167000000,24000,1,seconds,Interpolated from MAP.,NAD83,584.57,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01610155,"SIDELING HILL CREEK NEAR BELLEGROVE, MD",Stream,,02070003,102,sq mi,,,39.64952778000000,-78.3441388900000,24000,1,seconds,Interpolated from MAP.,NAD83,439.74,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,043,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01614500,"CONOCOCHEAGUE CREEK AT FAIRVIEW, MD",Stream,,02070004,494,sq mi,,,39.71638889000000,-77.8247778000000,,1,seconds,Interpolated from MAP.,NAD83,391.19,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,043,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01619500,"ANTIETAM CREEK NEAR SHARPSBURG, MD",Stream,,02070004,281,sq mi,,,39.44977778000000,-77.7301944000000,,1,seconds,Interpolated from MAP.,NAD83,310.40,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,043,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01636845,"LITTLE CATOCTIN CREEK NEAR ROSEMONT, MD",Stream,,02070008,4.16,sq mi,,,39.34125000000000,-77.6340833000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,413.26,feet,.10,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,24,021,,,,,20160826,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01636846,"LITTLE CATOCTIN CREEK AT ROSEMONT, MD",Stream,,02070008,4.55,sq mi,,,39.33761110000000,-77.6264722000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,395.79,feet,.01,feet,GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,24,021,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01638500,"POTOMAC RIVER AT POINT OF ROCKS, MD",Stream,,02070008,9651,sq mi,,,39.27358330000000,-77.5431111000000,,1,seconds,Interpolated from MAP.,NAD83,199.92,feet,.01,feet,Level or other surveyed method.,NAVD88,US,24,021,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01639000,"MONOCACY RIVER AT BRIDGEPORT, MD",Stream,,02070009,173,sq mi,,,39.67905556000000,-77.2345277800000,,1,seconds,Interpolated from MAP.,NAD83,340.18,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,021,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01640456,"OWENS CREEK NEAR FOXVILLE, MD",Stream,,02070009,1.01,sq mi,,,39.65370790000000,-77.4880442000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,021,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01640965,"HUNTING CREEK NEAR FOXVILLE, MD",Stream,,02070009,2.14,sq mi,,,39.61954240000000,-77.4663767000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,021,,,,,,,,,,NWIS
