"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-MD","USGS Maryland Water Science Center","USGS-01595800","NORTH BRANCH POTOMAC RIVER AT BARNUM, WV","Stream",NA,2070002,266,"sq mi",NA,NA,39.4451111,-79.1108056,24000,"1","seconds","Interpolated from MAP.","NAD83",1151.28,"feet",0.1,"feet","Interpolated from Digital Elevation Model","NAVD88","US",54,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-MD","USGS Maryland Water Science Center","USGS-01600000","NORTH BRANCH POTOMAC RIVER AT PINTO, MD","Stream",NA,2070002,607,"sq mi",NA,NA,39.56680556,-78.8395556,NA,"1","seconds","Interpolated from MAP.","NAD83",648.23,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",54,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-MD","USGS Maryland Water Science Center","USGS-01618000","POTOMAC RIVER AT SHEPHERDSTOWN, WV","Stream",NA,2070004,5955,"sq mi",NA,NA,39.4347222,-77.80138889,24000,"1","seconds","Interpolated from MAP.","NAD83",280.26,"feet",0.1,"feet","GNSS4 - Level 4 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",54,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-PA","USGS Pennsylvania Water Science Center","USGS-03109670","Ohio River at Mile 44.5 at Newell, WV","Stream",NA,5030101,24200,"sq mi",NA,NA,40.6195088,-80.58979338,24000,"1","seconds","Interpolated from MAP.","NAD83",665,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",54,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-WV","USGS West Virginia Water Science Center","USGS-01595300","ABRAM CREEK AT OAKMONT, WV","Stream",NA,2070002,42.7,"sq mi",NA,NA,39.36676569,-79.17892449,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",1834.9,"feet",0.11,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",54,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-WV","USGS West Virginia Water Science Center","USGS-01604500","PATTERSON CREEK NEAR HEADSVILLE, WV","Stream",NA,2070002,221,"sq mi",NA,NA,39.44314946,-78.8219649,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",624.9,"feet",0.13,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",54,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-WV","USGS West Virginia Water Science Center","USGS-01608000","S F SOUTH BRANCH POTOMAC RIVER NR MOOREFIELD, WV","Stream",NA,2070001,276,"sq mi",NA,NA,39.0123313,-78.9561387,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",861.16,"feet",0.11,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",54,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-WV","USGS West Virginia Water Science Center","USGS-01608500","SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV","Stream",NA,2070001,1461,"sq mi",NA,NA,39.44703879,-78.6541817,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",561.78,"feet",0.08,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",54,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-WV","USGS West Virginia Water Science Center","USGS-01610200","LOST RIVER AT MCCAULEY NEAR BAKER, WV","Stream",NA,2070003,155,"sq mi",NA,NA,39.05510757,-78.725017,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",1259.34,"feet",0.1,"feet","Level or other surveyed method.","NGVD29","US",54,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-WV","USGS West Virginia Water Science Center","USGS-01611500","CACAPON RIVER NEAR GREAT CACAPON, WV","Stream",NA,2070003,675,"sq mi",NA,NA,39.5823158,-78.3097312,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",456.46,"feet",0.19,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",54,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
