OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AL,USGS Alabama Water Science Center,USGS-02479560,ESCATAWPA RIVER NEAR AGRICOLA MS,Stream,,03170008,562.00,sq mi,562.00,sq mi,30.81185520000000,-88.4586274000000,24000,1,seconds,Interpolated from MAP.,NAD83,46.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,28,039,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02430000,"MACKEYS CREEK NR DENNIS, MS",Stream,,03160101,66.9,sq mi,66.9,sq mi,34.52620847000000,-88.3228236000000,,5,seconds,Interpolated from MAP.,NAD83,333.47,feet,10,feet,Unknown.,NGVD29,US,28,141,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02430012,"MACKEYS CREEK BL BAY SPRINGS LOCK AND DAM, MS",Stream,,03160101,68.2,sq mi,68.2,sq mi,34.51231996000000,-88.3261570000000,,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,28,141,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02431000,"TOMBIGBEE RIVER NR FULTON, MS",Stream,,03160101,612,sq mi,612,sq mi,34.26500000000000,-88.4452778000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,243.16,feet,.1,feet,Level or other surveyed method.,NAVD88,US,28,057,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02433000,"BULL MOUNTAIN CREEK NR SMITHVILLE, MS",Stream,,03160101,336,sq mi,336,sq mi,34.08844049000000,-88.3905988000000,,5,seconds,Interpolated from MAP.,NAD83,234.81,feet,10,feet,Unknown.,NGVD29,US,28,057,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02436500,"TOWN CREEK NR NETTLETON, MS",Stream,,03160102,620,sq mi,620,sq mi,34.05916667000000,-88.6280556000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,194.01,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,28,095,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02437000,"TOMBIGBEE RIVER NR AMORY, MS",Stream,,03160101,1930,sq mi,1930,sq mi,33.98555556000000,-88.5511111000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,178.85,feet,.1,feet,GNSS1 - Level 1 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,28,095,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02437500,"TOMBIGBEE RIVER AT ABERDEEN, MS",Stream,,03160101,2171,sq mi,2171,sq mi,33.82066940000000,-88.5186545000000,,5,seconds,Interpolated from MAP.,NAD83,154.71,feet,10,feet,Unknown.,NGVD29,US,28,095,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02437560,"NICHOLS CREEK NR ABERDEEN, MS",Stream,,03160101,24.10,sq mi,,,33.81483590000000,-88.4889314000000,,5,seconds,Interpolated from MAP.,NAD83,175.99,feet,10,feet,Unknown.,NGVD29,US,28,095,,,,,,,,,,NWIS
USGS-MS,USGS Mississippi Water Science Center,USGS-02439600,"BUTTAHATCHEE RIVER NR KOLOLA SPRINGS, MS",Stream,,03160103,855.00,sq mi,,,33.67344890000000,-88.4292070000000,,5,seconds,Interpolated from MAP.,NAD83,176.06,feet,10,feet,Unknown.,NGVD29,US,28,087,,,,,,,,,,NWIS
