OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IN,USGS Indiana Water Science Center,USGS-04181050,St Marys River at Willshire OH,Stream,,04100004,435,sq mi,,,40.75199176000000,-84.7932961900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,161,,,,,,,,,,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-390911084473802,G MIAMI R AT ELIZABETHTOWN OH-USGS 390911084473802,Stream,,05080002,,,,,39.15311270000000,-84.7938385000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,061,,,,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,USGS-03216070,"OHIO RIVER AT IRONTON, OH",Stream,,05090103,,,,,38.53205556000000,-82.6859444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,480.41,feet,.07,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,087,,,,,,,,,,NWIS
USGS-KY,USGS Kentucky Water Science Center,USGS-03238680,"Ohio River at Meldahl Dam near Chilo, OH",Stream,,05090201,,,,,38.80506860000000,-84.2216012000000,,1,seconds,Reported.,NAD83,442.27,feet,.1,feet,Reported method of determination.,NGVD29,US,39,025,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04177266,"WEST BRANCH ST. JOSEPH RIVER NR NETTLE LAKE, OH",Stream,,04100003,101.8,sq mi,,,41.68338335000000,-84.6699534000000,24000,1,seconds,Interpolated from MAP.,NAD83,895.55,feet,1.5,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,171,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03091500,Mahoning River at Pricetown OH,Stream,,05030103,273,sq mi,273,sq mi,41.13144610000000,-80.9712018000000,,1,seconds,Interpolated from MAP.,NAD83,904.77,feet,0.1,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,099,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03093800,Mahoning River above Duck Creek at Leavittsburg OH,Stream,,05030103,542,sq mi,,,41.23950110000000,-80.8820309000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,155,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03098000,Mahoning River at Youngstown OH,Stream,,05030103,898,sq mi,,,41.11116910000000,-80.6728537000000,,1,seconds,Interpolated from MAP.,NAD83,826.53,feet,.01,feet,Level or other surveyed method.,COE1912,US,39,099,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03099500,Mahoning River at Lowellville OH,Stream,,05030103,1073,sq mi,1073,sq mi,41.03672598000000,-80.5361815000000,,1,seconds,Interpolated from MAP.,NAD83,796.57,feet,.10,feet,GNSS3 - Level 3 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,39,099,,,,,,,,,,NWIS
USGS-OH,USGS Ohio Water Science Center,USGS-03099510,Mahoning River at OH-PA St line bl Lowellville OH,Stream,,05030103,1075,sq mi,,,41.03144837000000,-80.5192364000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,39,099,,,,,,,,,,NWIS
