"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-GA","USGS Georgia Water Science Center","USGS-02177000","CHATTOOGA RIVER NEAR CLAYTON, GA","Stream",NA,3060102,207,"sq mi",207,"sq mi",34.81377778,-83.3063611,NA,"1","seconds","Interpolated from Digital MAP.","NAD83",1165.5,"feet",0.1,"feet","Level or other surveyed method.","NAVD88","US",45,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-SC","USGS South Carolina Water Science Center","USGS-02131000","PEE DEE RIVER AT PEEDEE, SC","Stream",NA,3040201,8830,"sq mi",8830,"sq mi",34.20432518,-79.5483896,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",23.54,"feet",0.01,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-SC","USGS South Carolina Water Science Center","USGS-02131500","LYNCHES RIVER NEAR BISHOPVILLE, SC","Stream",NA,3040202,675,"sq mi",NA,NA,34.2501545,-80.2136816,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",154.91,"feet",0.02,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-SC","USGS South Carolina Water Science Center","USGS-02132000","LYNCHES RIVER AT EFFINGHAM, SC","Stream",NA,3040202,1030,"sq mi",NA,NA,34.05154846,-79.7539545,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",57.39,"feet",0.07,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-SC","USGS South Carolina Water Science Center","USGS-02135300","SCAPE ORE SWAMP NEAR BISHOPVILLE, S. C.","Stream",NA,3040205,96,"sq mi",NA,NA,34.15071067,-80.30479729,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",164.53,"feet",5,"feet","Unknown.","NGVD29","US",45,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-SC","USGS South Carolina Water Science Center","USGS-02136000","BLACK RIVER AT KINGSTREE, SC","Stream",NA,3040205,1252,"sq mi",NA,NA,33.66225,-79.83613889,NA,"3","seconds","Interpolated from MAP.","NAD83",24.48,"feet",0.18,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-SC","USGS South Carolina Water Science Center","USGS-02136070","BLACK RIVER AT SC51 NEAR RHEMS, SC","Stream",NA,3040205,1680,"sq mi",NA,NA,33.54719444,-79.4015,NA,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",NA,NA,NA,NA,NA,NA,"US",45,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-SC","USGS South Carolina Water Science Center","USGS-02146000","CATAWBA RIVER NEAR ROCK HILL, SC","Stream",NA,3050103,3050,"sq mi",NA,NA,34.98486935,-80.9739658,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",484.95,"feet",0.04,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-SC","USGS South Carolina Water Science Center","USGS-02147000","CATAWBA RIVER NEAR CATAWBA, SC","Stream",NA,3050103,3530,"sq mi",NA,NA,34.8526464,-80.8681286,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",446.18,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",45,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-SC","USGS South Carolina Water Science Center","USGS-02155500","PACOLET RIVER NEAR FINGERVILLE, SC","Stream",NA,3050105,212,"sq mi",NA,NA,35.10984144,-81.9595507,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",703.14,"feet",0.19,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-SC","USGS South Carolina Water Science Center","USGS-02156500","BROAD RIVER NEAR CARLISLE, SC","Stream",NA,3050106,2780,"sq mi",NA,NA,34.5951393,-81.4212089,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",289.99,"feet",0.05,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","USGS-SC","USGS South Carolina Water Science Center","USGS-021607224","INDIAN CREEK ABOVE NEWBERRY, SC","Stream",NA,3050108,62.7,"sq mi",NA,NA,34.4251378,-81.6048272,24000,"5","seconds","Interpolated from MAP.","NAD83",325,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",45,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","USGS-SC","USGS South Carolina Water Science Center","USGS-02163000","SALUDA RIVER NEAR PELZER, S. C.","Stream",NA,3050109,405,"sq mi",NA,NA,34.66817119,-82.465127,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",727.75,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",45,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","USGS-SC","USGS South Carolina Water Science Center","USGS-02164000","REEDY RIVER NEAR GREENVILLE, SC","Stream",NA,3050109,48.6,"sq mi",NA,NA,34.8001183,-82.3651213,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",808.39,"feet",0.02,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","USGS-SC","USGS South Carolina Water Science Center","USGS-02169000","SALUDA RIVER NEAR COLUMBIA, SC","Stream",NA,3050109,2520,"sq mi",NA,NA,34.0140416,-81.0878717,24000,"1","seconds","Interpolated from MAP.","NAD83",148.71,"feet",0.03,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"16","USGS-SC","USGS South Carolina Water Science Center","USGS-02169500","CONGAREE RIVER AT COLUMBIA, SC","Stream",NA,3050110,7850,"sq mi",NA,NA,33.99320985,-81.049815,24000,"1","seconds","Interpolated from MAP.","NAD83",112.14,"feet",0.07,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"17","USGS-SC","USGS South Carolina Water Science Center","USGS-02169570","GILLS CREEK AT COLUMBIA, SC","Stream",NA,3050110,59.6,"sq mi",NA,NA,33.98960016,-80.9742573,24000,"1","seconds","Interpolated from MAP.","NAD83",135.78,"feet",0.05,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"18","USGS-SC","USGS South Carolina Water Science Center","USGS-02170500","LK MARION-MOULTRIE DIV CANAL(UPPER)NR PINEVILLE,","Stream",NA,3050111,14700,"sq mi",NA,NA,33.38766569,-80.1400842,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",45,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"19","USGS-SC","USGS South Carolina Water Science Center","USGS-02171500","SANTEE RIVER NEAR PINEVILLE, SC","Stream",NA,3050112,14700,"sq mi",NA,NA,33.45377778,-80.1413611,NA,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",21.96,"feet",0.07,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"20","USGS-SC","USGS South Carolina Water Science Center","USGS-021720698","WANDO RIVER ABOVE MT PLEASANT, SC","Stream: Tidal stream",NA,3050201,NA,NA,NA,NA,32.8590638,-79.8961963,NA,"5","seconds","Interpolated from MAP.","NAD83",-18.17,"feet",0.11,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"21","USGS-SC","USGS South Carolina Water Science Center","USGS-02172300","MCTIER CREEK (RD 209) NEAR MONETTA, SC","Stream",NA,3050204,15.6,"sq mi",NA,NA,33.75347736,-81.6017714,24000,"1","seconds","Interpolated from MAP.","NAD83",341.59,"feet",0.16,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"22","USGS-SC","USGS South Carolina Water Science Center","USGS-02172304","MCTIER CRK ABOVE HUNT SHED NEAR NEW HOLLAND, SC","Stream",NA,3050204,NA,NA,NA,NA,33.7459776,-81.5970492,NA,"Unknown","Unknown","Unknown.","NAD83",NA,NA,NA,NA,NA,NA,"US",45,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"23","USGS-SC","USGS South Carolina Water Science Center","USGS-02172305","MCTIER CREEK NEAR NEW HOLLAND, SC","Stream",NA,3050204,30.7,"sq mi",NA,NA,33.7183333,-81.6080556,NA,"1","seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",330,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",45,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"24","USGS-SC","USGS South Carolina Water Science Center","USGS-02173000","SOUTH FORK EDISTO RIVER NEAR DENMARK, SC","Stream",NA,3050204,720,"sq mi",NA,NA,33.39320916,-81.1331559,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",154.64,"feet",0.01,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"25","USGS-SC","USGS South Carolina Water Science Center","USGS-02173500","NORTH FORK EDISTO RIVER AT ORANGEBURG, SC","Stream",NA,3050203,683,"sq mi",NA,NA,33.48348715,-80.87342578,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",148.08,"feet",0.03,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"26","USGS-SC","USGS South Carolina Water Science Center","USGS-02174175","EDISTO RIVER NEAR COTTAGEVILLE,SC","Stream",NA,3050206,2062,"sq mi",NA,NA,33.05461187,-80.4492661,24000,"10","seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",45,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"27","USGS-SC","USGS South Carolina Water Science Center","USGS-02174250","COW CASTLE CREEK NEAR BOWMAN, SC","Stream",NA,3050205,23.4,"sq mi",NA,NA,33.37876895,-80.699815,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",125,"feet",0.1,"feet","Unknown.","NGVD29","US",45,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"28","USGS-SC","USGS South Carolina Water Science Center","USGS-02175000","EDISTO RIVER NR GIVHANS, SC","Stream",NA,3050206,2730,"sq mi",NA,NA,33.02794645,-80.3914876,24000,"1","seconds","Interpolated from MAP.","NAD83",19.66,"feet",0.01,"feet","Level or other surveyed method.","NAVD88","US",45,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"29","USGS-SC","USGS South Carolina Water Science Center","USGS-02176500","COOSAWHATCHIE RIVER NEAR HAMPTON, SC","Stream",NA,3050208,203,"sq mi",NA,NA,32.8362777,-81.1317718,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",46.26,"feet",0.03,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"30","USGS-SC","USGS South Carolina Water Science Center","USGS-02176517","COOSAWHATCHIE RIVER NR EARLY BRANCH, SC","Stream",NA,3050208,382,"sq mi",NA,NA,32.697676,-80.9656636,24000,"1","seconds","Interpolated from MAP.","NAD83",25,"feet",2.5,"feet","Interpolated from topographic map.","NGVD29","US",45,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"31","USGS-SC","USGS South Carolina Water Science Center","USGS-02176875","GREAT SWAMP NR RIDGELAND, S.C.","Stream",NA,3060110,NA,NA,NA,NA,32.49602006,-81.0184414,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",45,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"32","USGS-SC","USGS South Carolina Water Science Center","USGS-02189000","SAVANNAH RIVER NEAR CALHOUN FALLS, S. C.","Stream",NA,3060103,2876,"sq mi",NA,NA,34.070949,-82.64152248,NA,"Unknown","Unknown","Interpolated from MAP.","NAD83",363.53,"feet",0.01,"feet","Level or other surveyed method.","NGVD29","US",45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"33","USGS-SC","USGS South Carolina Water Science Center","USGS-02197300","UPPER THREE RUNS NEAR NEW ELLENTON, SC","Stream",NA,3060106,87,"sq mi",NA,NA,33.3848664,-81.616498,NA,"3","seconds","Interpolated from MAP.","NAD83",173.6,"feet",0.06,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",45,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"34","USGS-SC","USGS South Carolina Water Science Center","USGS-3345100813509","GULLY CREEK AT BRIDGE ON SHOALS RD NEAR MONETTA SC","Stream",NA,3050204,10,"sq mi",NA,NA,33.75277778,-81.5858333,24000,"Unknown","Unknown","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",45,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"35","11NPSWRD_WQX","National Park Service Water Resources Division","11NPSWRD_WQX-CONG_MR_MC","Myers Creek North of Old Bluff Road","River/Stream","Station is located in Myers Creek north of Old Bluff Road and west of Duffies Pond.  Station can be found on USGS 7.5' Gadsden quadrangle. Data stored at this station were collected and analyzed in a report titled: """"A Water Quality Study at the Congaree Swamp National Monument of Myers Creek; Reeves Creek and Toms Creek"""" by Michael Rikard; National Park Service; Cape Lookout National Seashore; Morehead City North Carolina; November 1991.  This station is one of three sampling stations where basic water quality parameters and dissolved metals were analyzed within these streams for a period from May 6 1988 to June 30 1990.  The purpose of the study was to develop and initiate a water quality monitoring program on the three creeks.  Data processed and uploaded to STORET by Scott S. Hermsen; National Park ServiceWater Resources Division; 1201 Oak Ridge Drive Suite 250; Fort Collins Colorado 80525; (tel. 9702253516; fax. 9702259965).***     Legacy STORET Station Type: /TYPA/AMBNT/STREAM",3050110,NA,NA,NA,NA,33.8427778,-80.8608333,0,NA,NA,"Unknown","NAD27",105,"ft",NA,NA,"Topographic Map Interpolation","UNKWN","US",45,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
